"source","target"
"your email","بريدك الإلكتروني"
"I welcome additional boosts of hopeful activism and political imagination into my inbox","أرحب بإضافات من النشاط المفعم بالأمل والخيال السياسي إلى صندوق بريدي"
"No thanks","لا شكراً"
"Send link","إرسال الرابط"
"Prefer","يفضل"
"-ish","-يش"
"Prevent","منع"
"I’d still rather","ما زلت أفضل"
"prevent","منع"
"some parts of this","بعض أجزاء من هذا"
"I do still","ما زلت"
"prefer","أفضل"
"undo","تراجع"
"continue","استمر"
"Projected","متوقع"
"will happen for sure","سيحدث بالتأكيد"
"Probable","محتمل"
"almost certain","شبه مؤكد"
"Plausible","معقول"
"not obvious, not surprising","غير واضح، غير مفاجئ"
"Possible","ممكن"
"highly unlikely, not impossible","غير محتمل للغاية، لكنه ليس مستحيلاً"
"Preposterous","سخيف"
"can never happen","لا يمكن أن يحدث أبداً"
"Now, is that a future you would **prefer** would happen or is it a future you’ld rather **prevent**?","الآن، هل هذا مستقبل تفضل أن يحدث أم مستقبل تفضل أن تمنعه؟"
"And can you evaluate how likely is this future?","وهل يمكنك تقييم مدى احتمال حدوث هذا المستقبل؟"
"Got it. Thanks!

We’re currently analyzing your screenshot and adding it to the Futures Map. This usually takes a few minutes. When it’s ready we will **email** you a **secret link** so you can always find, edit or delete your screenshots from the map.","تم. شكراً!

نحن حالياً نقوم بتحليل لقطة الشاشة الخاصة بك وإضافتها إلى خريطة المستقبل. عادةً ما يستغرق ذلك بضع دقائق. عندما تكون جاهزة، سنرسل لك **رابطاً سرياً** عبر البريد الإلكتروني لتتمكن دائماً من العثور عليها أو تعديلها أو حذفها من الخريطة."
"Perfect! We’re all set.

Expect an email soon from **MapFutur.es!**","رائع! نحن جاهزون.

توقع بريد إلكتروني قريباً من **MapFutur.es!**"
"Well, you will lose the option to edit and track your screenshot, but we will try to handle it with care. **Thanks**!","حسناً، ستفقد خيار تعديل ومتابعة لقطة الشاشة الخاصة بك، لكننا سنحاول التعامل معها بعناية. **شكراً**!"
"That’s great!

We added “:TAGLINE:” to the map!

**Want to see it?**","هذا رائع!

لقد أضفنا “:TAGLINE:” إلى الخريطة!

**هل تريد رؤيتها؟**"
"We added “:TAGLINE:” to the map!

**Want to see it?**","لقد أضفنا “:TAGLINE:” إلى الخريطة!

**هل تريد رؤيتها؟**"
"Add Another","أضف آخر"
"Explore Map","استكشاف الخريطة"
"Share","شارك"
"Our Future?","مستقبلنا؟"
"Check out this image!","تحقق من هذه الصورة!"
"scan again","امسح مرة أخرى"
"Looking Good","يبدو جيداً"
"Show me","أرني"
"in your own words...","بكلماتك الخاصة..."
"MENU","القائمة"
"Uploading image...","جارٍ تحميل الصورة..."
"Analyzing template...","جارٍ تحليل النموذج..."
"Deciphering handwriting...","جارٍ فك رموز الكتابة اليدوية..."
"Anticipating transition...","جارٍ توقع الانتقال..."
"Explore the Map","استكشاف الخريطة"
"About + Contact","حول + تواصل"
" Add to Map "," أضف إلى الخريطة "
"Yes, Let’s scan!","نعم، دعنا نفحص!"
"How do I make one?","كيف أصنع واحدة؟"
"Yes, I agree","نعم، أوافق"
"Find our booth in the lobby in front of the entrance. There you'll find templates and guidance.","ابحث عن كشكنا في الردهة أمام المدخل. هناك ستجد النماذج والإرشادات."
"Great!

But first, please approve the collection, processing, and storage of your screenshot as described in the [Privacy Policy](/privacy-policy).

I’m also about to ask you for **access to the camera**, and then we can get going….","رائع!

لكن أولاً، يرجى الموافقة على جمع ومعالجة وتخزين لقطة الشاشة الخاصة بك كما هو موضح في [سياسة الخصوصية](/privacy-policy).

سأطلب منك أيضاً **الوصول إلى الكاميرا**، وبعدها يمكننا البدء..."
"Hi there…","مرحباً..."
"the workshop","ورشة العمل"
"I’m here to help you **scan** your future screenshot and add it to the map.","أنا هنا لمساعدتك في **مسح** لقطة المستقبل الخاصة بك وإضافتها إلى الخريطة."
"fit the page to the frame","قم بتناسب الصفحة مع الإطار"
"try on a darker background","جرب على خلفية أغمق"
"change your angle","غير زاويتك"
"move closer to page","اقترب من الصفحة"
"hold still...","ابقَ ثابتاً..."
"NOW","الآن"
"PROJECTED","متوقع"
"Got it. Thanks!

We will send another **secret link** to :EMAIL: as soon as this screenshot is added to the Futures Map.",""
"Download Image",""
"Share to Group",""
"Join whatsapp Group",""
"Thanks for participating in **:EVENT_NAME:**!",""
"**First, join the chat group** we set up for :EVENT_NAME:.",""
